nodeType,propSet,count
Entity,address:countries:country_codes:former_name:ibcRUC:inactivation_date:incorporation_date:internal_id:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:original_name:service_provider:sourceID:status:struck_off_date:valid_until,6435
Entity,closed_date:company_number:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:type:valid_until,5193
Entity,company_type:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,5085
Entity,jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,4019
Entity,ibcRUC:lastEditTimestamp:name:node_id:sourceID:status:valid_until,3831
Entity,closed_date:company_number:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:type:valid_until,3586
Entity,ibcRUC:lastEditTimestamp:name:node_id:sourceID:valid_until,3372
Officer,countries:country_codes:lastEditTimestamp:name:node_id:note:sourceID:valid_until,2598
Intermediary,lastEditTimestamp:name:node_id:sourceID:valid_until,2102
Entity,address:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,1781
Other,lastEditTimestamp:name:node_id:sourceID:valid_until,1645
Entity,closed_date:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:valid_until,1546
Entity,countries:country_codes:entity_number:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,1546
Intermediary,internal_id:lastEditTimestamp:name:node_id:sourceID:valid_until,1488
Entity,closed_date:company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:status:valid_until,1365
Entity,countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,1244
Officer,country_codes:lastEditTimestamp:name:node_id:sourceID:valid_until,1176
Intermediary:Officer,countries:country_codes:lastEditTimestamp:name:node_id:sourceID:valid_until,1139
Officer,lastEditTimestamp:name:node_id:note:sourceID:valid_until,1090
Address,address:icij_id:lastEditTimestamp:node_id:sourceID:valid_until,867
Entity,address:ibcRUC:inactivation_date:incorporation_date:internal_id:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:original_name:service_provider:sourceID:status:struck_off_date:valid_until,767
Other,incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:type:valid_until,726
Address,address:countries:country_codes:lastEditTimestamp:node_id:sourceID,708
Entity,company_type:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,708
Address,address:lastEditTimestamp:name:node_id:sourceID:valid_until,655
Entity,comments:company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,557
Entity,closed_date:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,556
Intermediary,countries:country_codes:internal_id:lastEditTimestamp:name:node_id:registered_office:sourceID:valid_until,539
Address,address:countries:country_codes:icij_id:lastEditTimestamp:node_id:original_address:sourceID:valid_until,528
Address,address:lastEditTimestamp:node_id:sourceID:valid_until,469
Other,countries:country_codes:lastEditTimestamp:name:node_id:sourceID:valid_until,386
Entity,company_type:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,374
Entity,countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:valid_until,373
Entity,closed_date:company_number:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:struck_off_date:type:valid_until,352
Entity,countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,339
Entity,address:company_type:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:service_provider:sourceID:tax_stat_description:valid_until,337
Entity,address:countries:country_codes:dorm_date:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,337
Entity,closed_date:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,337
Entity,company_number:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:type:valid_until,313
Entity,lastEditTimestamp:name:node_id:sourceID:valid_until,304
Entity,ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,295
Entity,countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,283
Entity,closed_date:countries:country_codes:ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,258
Officer,countries:country_codes:lastEditTimestamp:name:node_id:sourceID,247
Entity,countries:country_codes:ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,244
Officer,lastEditTimestamp:name:node_id:sourceID,206
Entity,countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,203
Entity,company_number:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:type:valid_until,185
Entity,incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,175
Entity,ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,164
Officer,countries:country_codes:lastEditTimestamp:name:node_id:sourceID:status:valid_until,154
Entity,address:company_type:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,148
Entity,jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID,144
Address,countries:country_codes:lastEditTimestamp:name:node_id:note:sourceID:valid_until,140
Entity,company_type:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:struck_off_date:valid_until,130
Other,closed_date:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:type:valid_until,117
Entity,closed_date:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,114
Entity,closed_date:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,112
Entity,company_type:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,109
Entity,closed_date:company_type:countries:country_codes:former_name:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:status:valid_until,104
Address,address:addressID:countries:country:country_code:country_codes:lastEditTimestamp:name:node_id:note:sourceID:valid_until,98
Entity,countries:country_codes:ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,94
Entity,jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,90
Officer,country_codes:lastEditTimestamp:name:node_id:sourceID,86
Entity,incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,79
Entity,closed_date:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:valid_until,78
Address,address:countries:country_codes:icij_id:lastEditTimestamp:node_id:note:sourceID:valid_until,74
Other,jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,70
Entity,countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,58
Officer,countries:country_codes:lastEditTimestamp:node_id:sourceID:valid_until,58
Entity,address:countries:country_codes:dorm_date:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,51
Entity,lastEditTimestamp:name:node_id:sourceID,50
Entity,countries:country_codes:entity_number:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,49
Entity,countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,49
Address,address:addressID:countries:country:country_code:country_codes:lastEditTimestamp:name:node_id:sourceID:valid_until,45
Other,incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:struck_off_date:type:valid_until,45
Address,address:countries:country_codes:lastEditTimestamp:name:node_id:note:sourceID:valid_until,44
Entity,closed_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,44
Officer,icij_id:lastEditTimestamp:name:node_id:note:sourceID:valid_until,44
Entity,company_number:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:type:valid_until,40
Entity,company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,36
Address,countries:country_codes:lastEditTimestamp:name:node_id:sourceID:status:valid_until,35
Address,lastEditTimestamp:name:node_id:sourceID:valid_until,34
Address,address:countries:country_codes:lastEditTimestamp:node_id:note:sourceID:valid_until,30
Entity,address:company_type:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:service_provider:sourceID:valid_until,30
Entity,ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,26
Entity,address:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:valid_until,25
Entity,company_number:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:struck_off_date:type:valid_until,25
Entity,ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,25
Entity,company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:struck_off_date:valid_until,24
Entity,address:former_name:ibcRUC:inactivation_date:incorporation_date:internal_id:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:original_name:service_provider:sourceID:status:struck_off_date:valid_until,23
Intermediary,address:internal_id:lastEditTimestamp:name:node_id:sourceID:status:valid_until,23
Entity,ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:node_id:sourceID:valid_until,21
Entity,company_type:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,20
Entity,address:company_type:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,18
Entity,countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:valid_until,18
Officer,country_codes:lastEditTimestamp:name:node_id:note:sourceID:valid_until,17
Entity,incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,15
Entity,address:countries:country_codes:ibcRUC:inactivation_date:incorporation_date:internal_id:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:original_name:service_provider:sourceID:status:struck_off_date:valid_until,13
Entity,address:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:tax_stat_description:valid_until,13
Entity,company_type:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,12
Entity,countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:valid_until,12
Entity,company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:valid_until,11
Officer,countries:country_codes:icij_id:lastEditTimestamp:name:node_id:note:sourceID:valid_until,11
Entity,address:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,10
Entity,countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:valid_until,10
Entity,countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,10
Address,address:lastEditTimestamp:node_id:sourceID,9
Entity,closed_date:company_type:countries:country_codes:ibcRUC:inactivation_date:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,9
Entity,countries:country_codes:ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,9
Entity,address:company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:valid_until,8
Entity,company_type:ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,7
Entity,ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID,7
Entity,countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,6
Address,addressID:country:country_code:lastEditTimestamp:name:node_id:note:sourceID:valid_until,5
Entity,address:company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:service_provider:sourceID:status:tax_stat_description:valid_until,5
Entity,company_number:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:struck_off_date:type:valid_until,5
Address,address:addressID:country:country_code:lastEditTimestamp:name:node_id:note:sourceID:valid_until,4
Entity,address:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:status:valid_until,4
Entity,company_type:countries:country_codes:former_name:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,4
Entity,company_type:countries:country_codes:ibcRUC:inactivation_date:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,4
Entity,countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:status:valid_until,4
Entity,countries:country_codes:ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:node_id:sourceID:valid_until,4
Entity,ibcRUC:lastEditTimestamp:name:node_id:sourceID,4
Entity,incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:struck_off_date:valid_until,4
Entity,jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:valid_until,4
Officer,lastEditTimestamp:name:node_id:sourceID:status:valid_until,4
Address,address:node_id:note:sourceID:valid_until,3
Entity,address:company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:tax_stat_description:valid_until,3
Entity,address:company_type:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:valid_until,3
Entity,address:countries:country_codes:ibcRUC:inactivation_date:incorporation_date:internal_id:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:original_name:service_provider:sourceID:struck_off_date:valid_until,3
Entity,closed_date:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,3
Entity,company_number:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:type:valid_until,3
Entity,company_type:countries:country_codes:former_name:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:struck_off_date:valid_until,3
Entity,company_type:countries:country_codes:ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,3
Entity,company_type:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:tax_stat_description:valid_until,3
Entity,countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:valid_until,3
Entity,jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:service_provider:sourceID:valid_until,3
Intermediary,address:countries:country_codes:internal_id:lastEditTimestamp:name:node_id:note:sourceID:status:valid_until,3
Address,address:countries:country_codes:icij_id:lastEditTimestamp:name:node_id:note:sourceID:valid_until,2
Address,countries:country_codes:icij_id:lastEditTimestamp:name:node_id:note:sourceID:valid_until,2
Entity,address:company_type:countries:country_codes:dorm_date:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,2
Entity,closed_date:company_number:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:type:valid_until,2
Entity,closed_date:company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,2
Entity,closed_date:ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:type:valid_until,2
Entity,company_number:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:struck_off_date:type:valid_until,2
Entity,company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:service_provider:sourceID:status:tax_stat_description:valid_until,2
Entity,company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:status:valid_until,2
Entity,company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID,2
Entity,company_type:countries:country_codes:ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,2
Intermediary,countries:country_codes:internal_id:lastEditTimestamp:name:node_id:note:registered_office:sourceID:valid_until,2
Intermediary,countries:country_codes:lastEditTimestamp:name:node_id:note:sourceID:valid_until,2
Officer,countries:lastEditTimestamp:name:node_id:sourceID:valid_until,2
Officer,end_date:lastEditTimestamp:name:node_id:note:sourceID:valid_until,2
Address,address:country_codes:icij_id:lastEditTimestamp:node_id:note:sourceID:valid_until,1
Address,address:icij_id:lastEditTimestamp:node_id:note:sourceID:valid_until,1
Address,lastEditTimestamp:name:node_id:note:sourceID:valid_until,1
Entity,address:company_type:countries:country_codes:dorm_date:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:service_provider:sourceID:status:tax_stat_description:valid_until,1
Entity,address:company_type:countries:country_codes:dorm_date:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:valid_until,1
Entity,address:company_type:countries:country_codes:dorm_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:tax_stat_description:valid_until,1
Entity,address:company_type:countries:country_codes:ibcRUC:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:valid_until,1
Entity,address:company_type:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:tax_stat_description:valid_until,1
Entity,closed_date:company_number:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:struck_off_date:type:valid_until,1
Entity,closed_date:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:registration_date:sourceID:status:valid_until,1
Entity,company_type:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:status:valid_until,1
Entity,company_type:countries:country_codes:incorporation_date:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,1
Entity,company_type:countries:country_codes:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,1
Entity,countries:country_codes:ibcRUC:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:service_provider:sourceID:valid_until,1
Entity,countries:country_codes:incorporation_date:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,1
Entity,countries:country_codes:incorporation_date:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:valid_until,1
Entity,countries:country_codes:lastEditTimestamp:name:node_id:sourceID:valid_until,1
Entity,former_name:ibcRUC:incorporation_date:internal_id:jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:original_name:sourceID:struck_off_date:valid_until,1
Entity,jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:status:valid_until,1
Entity,jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:note:sourceID:valid_until,1
Entity,jurisdiction:jurisdiction_description:lastEditTimestamp:name:node_id:sourceID:status:valid_until,1
Intermediary,countries:country_codes:lastEditTimestamp:node_id:sourceID:valid_until,1
Intermediary,internal_id:lastEditTimestamp:name:node_id:note:sourceID:valid_until,1
Officer,address:countries:country_codes:lastEditTimestamp:name:node_id:note:sourceID:valid_until,1
Officer,lastEditTimestamp:node_id:sourceID:valid_until,1
